"-------------------------------------------------------------------------------------------"
"  Daily average atmospheric CO2 concentrations (ppm) derived from flask air samples        "
"  For Mauna Loa Observatory, Hawaii: Latitude 19.5N Longitude 155.6W Elevation 3397m"
"                                                                                           "
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
"Flask data in this from archive dated 2018-11-15 16:15:47                                  "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
"   If it is necessary to cite a peer-reviewed article, please cite as:                     "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute             "
"                                             M$Excel spreadsheet date format               "
"                                             Decimal year and fractional year              "
" NC   - Number of flasks used in daily average                                             "
"                                                                                           "
"                                                                                           "
" FGC -   Flags                                                                             "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer replacing flask data                        "
"  -1 - Accepted Value retained although individual measurements deviated                   "
"       by more than selected tolerance                                                     "
"   0 - Accepted Value                                                                      "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance or single flask              "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"                                                                                           "
" Averages for CO2 have been succesfully filtered by deviation from curve fit.              "
"                                                                                           "
"                                                                                           "
"  Cx - CO2 value (ppm)                                                                     "
"          CO2 concentrations are measured on the '08A' Calibration Scale                   "
"                                                                                           "
"   Sample,Sample,    Excel,   Sample, NC,FLG,      Cx                                      "
"     Date,  Time,     Date,     Date,                                                      "
1960-03-30, 12:00, 22005.50, 1960.245,  2,  0, 318.27
1960-03-31, 16:00, 22006.67, 1960.248,  2,  0, 318.29
1960-04-23, 10:30, 22029.44, 1960.310,  3,  4, 318.61
1960-04-24, 08:00, 22030.33, 1960.312,  3,  0, 319.33
1960-07-03, 15:20, 22100.64, 1960.504,  2,  4, 320.35
1960-07-17, 17:00, 22114.71, 1960.543,  2,  4, 315.95
1960-08-01, 15:05, 22129.63, 1960.584,  2,  4, 319.37
1960-08-18, 10:00, 22146.42, 1960.630,  2,  0, 315.56
1960-10-06, 14:48, 22195.62, 1960.764,  2,  0, 312.62
1960-11-04, 13:45, 22224.57, 1960.843,  2,  4, 350.39
1960-11-25, 13:10, 22245.55, 1960.900,  1,  4, 392.23
1960-12-01, 10:50, 22251.45, 1960.917,  2,  0, 316.29
1960-12-20, 15:45, 22270.66, 1960.969,  2,  4, 318.19
1961-01-04, 12:50, 22285.53, 1961.010,  2,  0, 316.74
1961-01-17, 14:00, 22298.58, 1961.045,  2,  0, 317.85
1961-02-02, 13:50, 22314.58, 1961.089,  2,  4, 317.62
1961-02-17, 11:15, 22329.47, 1961.130,  2,  4, 318.54
1961-03-01, 15:23, 22341.64, 1961.163,  2,  0, 317.69
1961-03-15, 15:20, 22355.64, 1961.202,  1,  4, 317.58
1961-04-04, 11:10, 22375.47, 1961.256,  2,  4, 320.72
1961-04-15, 10:10, 22386.42, 1961.286,  2,  4, 320.90
1961-05-15, 14:47, 22416.62, 1961.369,  2,  4, 332.09
1961-06-01, 14:20, 22433.60, 1961.415,  2,  0, 318.75
1961-06-15, 13:53, 22447.58, 1961.454,  2,  0, 319.36
1961-07-01, 14:02, 22463.58, 1961.497,  2,  0, 319.50
1961-07-15, 12:48, 22477.53, 1961.536,  2,  0, 319.18
1961-08-01, 15:15, 22494.64, 1961.583,  2,  0, 316.41
1961-08-15, 14:40, 22508.61, 1961.621,  2,  4, 317.38
1961-09-01, 11:30, 22525.48, 1961.667,  2,  0, 316.39
1961-09-16, 10:05, 22540.42, 1961.708,  2,  0, 315.35
1961-10-02, 12:00, 22556.50, 1961.752,  2,  0, 315.31
1961-10-15, 10:50, 22569.45, 1961.788,  2,  0, 314.24
1961-11-03, 10:50, 22588.45, 1961.840,  2,  0, 315.83
1961-11-15, 14:25, 22600.60, 1961.873,  2,  0, 315.96
1961-12-05, 14:55, 22620.62, 1961.928,  2,  0, 317.80
1961-12-15, 14:35, 22630.61, 1961.955,  2,  5, 321.16
1962-01-01, 11:47, 22647.49, 1962.001,  2,  0, 317.53
1962-01-15, 14:22, 22661.60, 1962.040,  2,  5, 316.30
1962-02-01, 12:15, 22678.51, 1962.086,  2,  4, 319.03
1962-02-15, 14:15, 22692.59, 1962.125,  2,  0, 318.35
1962-03-01, 12:35, 22706.52, 1962.163,  2,  0, 319.54
1962-03-15, 14:35, 22720.61, 1962.202,  2,  0, 320.09
1962-04-01, 15:20, 22737.64, 1962.248,  2,  4, 320.81
1962-04-16, 15:25, 22752.64, 1962.289,  2,  0, 320.32
1962-05-01, 10:50, 22767.45, 1962.330,  2,  0, 321.24
1962-05-15, 14:05, 22781.59, 1962.369,  2,  0, 321.73
1962-06-01, 18:35, 22798.77, 1962.416,  2,  0, 320.87
1962-06-15, 14:20, 22812.60, 1962.454,  2,  0, 319.75
1962-07-01, 16:15, 22828.68, 1962.498,  2,  0, 319.00
1962-07-16, 11:05, 22843.46, 1962.538,  2,  0, 317.79
1962-08-01, 11:31, 22859.48, 1962.582,  2,  5, 319.80
1962-08-15, 15:03, 22873.63, 1962.621,  2,  0, 317.12
1962-09-15, 11:50, 22904.49, 1962.705,  2,  0, 315.36
1962-10-03, 14:10, 22922.59, 1962.755,  2,  0, 314.40
1962-11-02, 11:00, 22952.46, 1962.837,  2,  0, 316.09
1962-11-16, 09:55, 22966.41, 1962.875,  2,  0, 317.25
1962-12-02, 21:55, 22982.91, 1962.920,  2,  2, 317.63
1962-12-16, 22:13, 22996.93, 1962.959,  2,  2, 318.65
1963-01-02, 22:30, 23013.94, 1963.005,  2,  4, 322.60
1963-01-15, 22:00, 23026.92, 1963.041,  2,  4, 318.58
1963-02-01, 22:28, 23043.94, 1963.087,  2,  4, 321.64
